Date,AAPL,ABT,ACN,ADBE,AMAT,AMGN,AMZN,AVGO,BAC,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,MA,MCD,MDT,META,MRK,MSFT,NEE,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,TMO,TSLA,TXN,UNH,UPS,V,VZ,WMT,XOM
2018-04-20,39.0505485534668,52.38759231567383,137.3155517578125,225.24000549316406,46.96467590332031,137.5557403564453,76.37449645996094,19.10951805114746,25.440704345703125,27.915733337402344,174.3745880126953,121.75312805175781,35.68048095703125,89.41952514648438,86.97114562988281,95.88541412353516,53.54487228393555,148.36355590820312,124.26957702636719,99.87486267089844,43.552696228027344,103.34882354736328,91.35943603515625,34.89794921875,134.51580810546875,70.94576263427734,170.3094024658203,133.98544311523438,66.6007308959961,165.3727569580078,45.0489501953125,88.09320068359375,33.66551971435547,60.52659225463867,5.658548831939697,41.49528121948242,82.40634155273438,25.4460506439209,61.563941955566406,57.1593017578125,42.591609954833984,211.88888549804688,19.349332809448242,81.6161117553711,210.21963500976562,83.58526611328125,118.14752960205078,32.97660827636719,25.773897171020508,56.35282516479492
2018-04-23,38.937442779541016,52.077816009521484,137.88314819335938,225.3000030517578,46.12815475463867,140.04132080078125,75.89299774169922,18.813753128051758,25.49114990234375,28.47051429748535,174.18539428710938,120.83120727539062,35.809967041015625,90.34800720214844,86.85099792480469,95.79932403564453,53.370418548583984,148.90838623046875,122.66017150878906,100.53655242919922,43.18927001953125,103.487548828125,90.91683959960938,35.08942413330078,134.23016357421875,71.9687728881836,168.7224884033203,134.17112731933594,66.70073699951172,164.93516540527344,46.13631057739258,88.41777038574219,33.736717224121094,61.250091552734375,5.53904914855957,41.10932540893555,82.48674774169922,25.564151763916016,60.896575927734375,56.75236511230469,41.83812713623047,212.34036254882812,18.891332626342773,80.08927917480469,209.57569885253906,84.0164794921875,118.39486694335938,33.49983596801758,25.51313591003418,56.75941467285156
2018-04-24,38.39546585083008,51.608734130859375,136.10824584960938,217.88999938964844,44.78604507446289,137.8604278564453,73.00450134277344,18.405967712402344,25.381851196289062,28.033424377441406,173.42857360839844,116.85604858398438,35.39723587036133,89.58766174316406,85.90696716308594,95.1393051147461,50.827171325683594,147.73495483398438,121.50472259521484,100.32978057861328,43.48508834838867,102.96533966064453,90.49066162109375,34.363380432128906,131.0342254638672,71.87005615234375,166.6162567138672,132.76181030273438,66.158935546875,158.8187255859375,46.013797760009766,86.34990692138672,33.95446014404297,61.33253860473633,5.472742557525635,40.86697006225586,81.57006072998047,25.74476432800293,60.47948455810547,55.95195388793945,41.3496208190918,209.21925354003906,18.8973331451416,80.35871887207031,209.4684295654297,83.3311538696289,115.36032104492188,34.195159912109375,25.64055061340332,55.88914489746094
2018-04-25,38.562774658203125,51.9096565246582,135.22531127929688,217.32000732421875,45.1721305847168,140.17759704589844,73.00849914550781,18.45513153076172,25.339815139770508,28.79834747314453,174.74392700195312,116.30091094970703,35.37295913696289,89.7192611694336,86.24165344238281,96.75588989257812,50.84457015991211,148.6820831298828,121.3726806640625,100.59168243408203,43.42592239379883,103.4304428100586,90.14643096923828,33.852760314941406,133.6856231689453,72.81228637695312,165.87562561035156,131.5972442626953,66.23394775390625,158.8187255859375,45.66154861450195,85.5987777709961,33.5692138671875,61.057769775390625,5.360418319702148,41.064449310302734,81.33686828613281,25.480783462524414,60.312644958496094,55.490726470947266,41.19230270385742,210.4951934814453,18.71266746520996,84.09823608398438,210.0765838623047,83.6699447631836,115.3032455444336,34.4911994934082,25.830198287963867,56.70948791503906
2018-04-26,38.69709396362305,52.66196823120117,137.20741271972656,221.91000366210938,46.413124084472656,140.61053466796875,75.89800262451172,18.569564819335938,25.280961990356445,28.01660919189453,175.90603637695312,119.7804183959961,35.7775993347168,90.8158950805664,87.34877014160156,95.50279235839844,51.85451126098633,155.66397094726562,121.1580810546875,101.12931823730469,44.83740234375,104.45037078857422,90.23657989501953,34.10806655883789,139.2561798095703,74.07757568359375,171.3480987548828,134.0951385498047,67.17587280273438,173.2097625732422,45.493080139160156,87.4070053100586,34.17221450805664,62.32160568237305,5.572202682495117,41.252933502197266,83.03355407714844,25.598873138427734,60.68803024291992,55.273677825927734,41.7884521484375,209.87684631347656,19.031999588012695,83.86962890625,211.9814453125,87.22742462158203,120.88717651367188,34.25711441040039,26.058364868164062,57.679603576660156
2018-04-27,38.24937438964844,52.71507263183594,137.29750061035156,221.89999389648438,45.41114044189453,142.28634643554688,78.63099670410156,18.7597599029541,25.348222732543945,26.738924026489258,177.09524536132812,119.17571258544922,36.182220458984375,92.57050323486328,87.22859954833984,94.91929626464844,51.26504898071289,156.2842559814453,121.26538848876953,100.96389770507812,44.566932678222656,104.66254425048828,89.66285705566406,34.55485916137695,136.7922821044922,74.23912048339844,169.2130126953125,133.58883666992188,67.75933837890625,172.6428680419922,45.539024353027344,88.85358428955078,34.329246520996094,63.70448303222656,5.599664211273193,40.86697006225586,81.78717803955078,25.703081130981445,60.73809814453125,55.99943542480469,42.3183708190918,208.89537048339844,19.60533332824707,83.6981430053711,214.79856872558594,87.77412414550781,119.86934661865234,35.50320053100586,25.865753173828125,55.489688873291016
2018-04-30,38.94215774536133,51.44941329956055,136.22537231445312,221.60000610351562,45.65932083129883,139.89697265625,78.30650329589844,18.488969802856445,25.15485382080078,26.385873794555664,177.6177215576172,119.93902587890625,35.84233856201172,91.4665756225586,86.09577941894531,95.97151184082031,50.62538528442383,154.8928985595703,119.40838623046875,99.91619110107422,43.62877655029297,103.21014404296875,89.15472412109375,34.4750862121582,136.1584014892578,72.74948120117188,171.4539031982422,141.30201721191406,66.79243469238281,171.06153869628906,45.0795783996582,86.7208023071289,34.318782806396484,62.632991790771484,5.564285755157471,40.99263000488281,81.16801452636719,25.432153701782227,60.34601974487305,55.619606018066406,42.23556900024414,206.45155334472656,19.593332290649414,82.81633758544922,211.4180450439453,87.39684295654297,120.69693756103516,33.974857330322266,26.212448120117188,55.46116256713867
2018-05-01,39.84702682495117,52.060115814208984,136.8740234375,224.0800018310547,46.79920196533203,135.72764587402344,79.11299896240234,18.566343307495117,25.180076599121094,26.949071884155273,177.06817626953125,122.04061126708984,36.279335021972656,91.2837905883789,86.5849380493164,95.7132339477539,51.72727584838867,154.75039672851562,119.26805877685547,99.94377136230469,45.07406234741211,102.81847381591797,89.15472412109375,33.98042297363281,136.85472106933594,70.95475006103516,173.3582000732422,137.9264373779297,67.52593231201172,172.91139221191406,44.39805221557617,88.09320068359375,34.17430877685547,62.36738586425781,5.619706630706787,41.24395751953125,79.7125244140625,24.591602325439453,60.02900695800781,55.07695770263672,42.07825469970703,206.81468200683594,19.994667053222656,84.42485046386719,211.8204803466797,86.58832550048828,121.29623413085938,33.60997009277344,25.90131378173828,54.8904914855957
2018-05-02,41.60727310180664,51.201602935791016,135.78390502929688,221.10000610351562,46.44989013671875,135.84793090820312,78.48400115966797,18.434171676635742,24.86900520324707,26.310224533081055,174.77093505859375,121.75312805175781,35.494346618652344,91.74436950683594,85.44354248046875,95.2923583984375,50.99665832519531,155.8232421875,118.00534057617188,98.18617248535156,44.21195602416992,100.77040100097656,88.44987487792969,33.55755615234375,135.01577758789062,70.73937225341797,178.71524047851562,135.59725952148438,66.61737823486328,175.10935974121094,43.87735366821289,86.7115478515625,34.22245788574219,62.51392364501953,5.599171161651611,40.849021911621094,78.1847152709961,24.237308502197266,59.17813491821289,54.330848693847656,41.61457061767578,204.96951293945312,20.07666778564453,84.0655746459961,208.7887725830078,85.58731079101562,120.22130584716797,32.87334060668945,25.584257125854492,54.78350067138672
2018-05-03,41.68267822265625,51.27240753173828,136.70291137695312,226.0500030517578,46.6153564453125,133.4104766845703,78.60399627685547,18.152912139892578,24.549522399902344,26.066455841064453,173.87908935546875,123.3293228149414,35.963714599609375,92.1245346069336,84.96292877197266,94.46971130371094,51.00907897949219,153.5434112548828,118.31895446777344,97.86907958984375,44.18659591674805,100.38693237304688,87.8925552368164,33.42192840576172,136.4441375732422,70.03044891357422,179.34994506835938,135.0909423828125,66.33397674560547,173.07054138183594,44.05348205566406,87.23081970214844,34.140804290771484,61.2684211730957,5.76444149017334,40.445098876953125,78.48223876953125,24.14699935913086,59.528507232666016,54.56148147583008,41.655982971191406,204.45916748046875,18.963333129882812,84.588134765625,209.4058380126953,84.55546569824219,120.98231506347656,32.935302734375,25.551654815673828,54.5980224609375
